,,Stated policies scenario,,,,,,,Announced pledges scenario,,,,,,Net Zero Emissions by 2050 scenario,,,,,
,,2022,2025,2030,2035,2040,2045,2050,2025,2030,2035,2040,2045,2050,2025,2030,2035,2040,2045,2050
Solar PV,Copper,682,779,907,925,959,1122,1262,923,1177,1369,1392,1621,1811,1259,1990,2063,2026,1674,1880
Wind,Copper,394,428,646,595,532,639,721,541,885,984,990,996,1107,705,1630,1543,1328,881,1303
Other low emissions power generation,Copper,85,69,108,87,85,110,117,79,141,155,149,160,160,93,225,228,180,148,142
Electric vehicles,Copper,373,580,1044,1219,1421,1458,1346,689,1592,2570,3135,3241,3307,1152,2704,3799,3884,3897,3583
Grid battery storage,Copper,20,38,83,154,225,238,220,52,130,230,376,413,444,77,258,441,685,734,665
Electricity networks,Copper,4182,4579,6510,6511,6582,7113,6982,4945,7440,8394,9059,9466,8887,5024,8924,11445,12574,11757,9778
Hydrogen technologies,Copper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low emissions power generation,Cobalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric vehicles,Cobalt,65,66,74,78,105,134,146,77,113,159,213,258,296,130,188,231,244,278,291
Grid battery storage,Cobalt,4,3,5,6,5,2,0,4,9,9,8,4,0,6,17,18,14,7,0
Hydrogen technologies,Cobalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric vehicles,Lithium,70,123,228,325,433,491,466,145,349,671,907,1006,1039,243,592,985,1106,1173,1104
Grid battery storage,Lithium,3,6,12,20,27,28,25,8,19,30,45,48,50,11,37,58,82,85,74
Solar PV,Nickel,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
Wind,Nickel,37,39,50,49,46,56,61,49,72,80,82,80,88,66,138,129,102,71,104
Other low emissions power generation,Nickel,83,167,318,267,459,236,220,216,486,427,561,346,461,382,724,595,634,346,283
Electric vehicles,Nickel,326,614,988,1215,1516,1615,1580,709,1498,2441,3040,3139,3273,1157,2414,3392,3451,3444,3289
Grid battery storage,Nickel,9,9,19,26,21,13,0,12,30,39,35,23,0,18,60,74,65,40,0
Hydrogen technologies,Nickel,2,2,5,4,4,4,6,19,45,43,46,47,61,36,115,118,93,64,87
Wind,Neodynium,6,6,10,9,8,10,11,8,13,15,15,15,16,10,24,22,19,12,18
Electric vehicles,Neodynium,4,7,12,15,19,22,23,8,18,30,39,44,49,13,26,35,34,37,37